v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors
AATS8s,3.4290450540486184e-05,1.0097568685307756e-05,Autocorr,#bfff00
AATS6s,4.1544945402649525e-05,5.689060146152336e-05,Autocorr,#bfff00
AATSC0pe,9.42090356892411e-05,-1.7358498139885548e-05,Autocorr,#bfff00
AATSC0are,0.0002091775902293147,0.00026615031740873096,Autocorr,#bfff00
SM1_Dzare,0.0016642175614833832,0.0005046440796417917,Matrix,#ff00ed
NsCl,1.5094198964060723e-06,4.039569334479687e-06,Estate,#6568f7
SsCl,-3.964894196295532e-07,1.1467120863972724e-06,Estate,#6568f7
MINsF,0.0005718817595731229,-0.0002714409069581869,Estate,#6568f7
NsF,1.0037964041087477e-06,-1.4278021726044088e-06,Estate,#6568f7
fr_aniline,0.00014474539255560082,0.000102605332027772,Fragment,#009eff
MAXdO,0.0021800591017712145,-0.0012958415529945588,Estate,#6568f7
SaaO,7.817750288685588e-05,8.064643903205049e-05,Estate,#6568f7
MAXaaO,0.0018293170089072053,-0.001309038563208187,Estate,#6568f7
NumCyclicNitrogenAtoms,-2.2897581485104013e-05,-0.0010036995465105836,Constitution,#ffd500
fr_Ar_N,4.4467435641792896e-05,-0.0009248764677481924,Fragment,#009eff
NaaN,4.170911217282747e-05,3.612854263990162e-05,Estate,#6568f7
fr_thiazole,0.0005902150984514742,0.0003166124224662781,Fragment,#009eff
PEOE_VSA5,5.550293082545732e-05,0.00011748752810736285,MOE,#a700ff
MolQedWeightsNone,0.02190760946409276,0.016575912860306796,Property,#ff6a00
GATS4i,0.0009121645919302201,-0.001661344685337851,Autocorr,#bfff00
GATS4p,0.0002106355333870713,-0.0016851303252307659,Autocorr,#bfff00
GATS4m,0.00023698993027210236,-0.0010612430897626313,Autocorr,#bfff00
GATS5p,0.0004955424334515124,2.7202069759368896e-05,Autocorr,#bfff00
GATS5m,0.0005379046567461909,-0.00046162307262420654,Autocorr,#bfff00
GATS6m,4.0715729654472455e-07,-0.00015097179196099653,Autocorr,#bfff00
GATS7p,3.755600614985255e-05,4.746290770440975e-05,Autocorr,#bfff00
GATS7i,0.00016520604152570062,9.854408827614236e-06,Autocorr,#bfff00
GATS7pe,-0.00014214200729667503,-0.00042700699784548046,Autocorr,#bfff00
NChargeRelative,0.0004120309075171802,0.00028588148680597225,Charge,#0033ff
VE2_Dzi,0.00039369037205527757,-0.00028138336810201725,Matrix,#ff00ed
DetourIndex,3.339214759146003e-07,2.0678747782998386e-06,Matrix,#ff00ed
VR1_Dzse,-2.4867159398311856e-06,-5.330551754445523e-07,Matrix,#ff00ed
SpAbs_Dt,-4.4898214657251856e-07,2.5318427518961073e-06,Matrix,#ff00ed
ATS3se,2.8449026021171164e-05,4.913183775812069e-05,Autocorr,#bfff00
CIC1,0.0006656264039603954,0.0011208741502327646,InfoContent,#ff0082
KappaAlapha3,-1.4562498429349091e-08,5.540522661773295e-07,Kappa,#00ff86
Kappa3,7.492913445261706e-08,-1.2218952178955078e-06,Kappa,#00ff86
fr_unbrch_alkane,1.04435126890845e-06,2.8955665500873806e-06,Fragment,#009eff
MAXssssN,0.0016203128986738147,0.0008562816814942087,Estate,#6568f7
AATSC0s,0.00018955496224493107,0.0001445073973048716,Autocorr,#bfff00
SsssB,0.0025628740814599427,0.0019195479425516693,Estate,#6568f7
SM1_Dzi,0.0022653978825970533,0.001150171865116456,Matrix,#ff00ed
ATSC0s,8.057633584246382e-06,4.613941365971819e-06,Autocorr,#bfff00
MAXsF,0.00041594449430704117,-0.0003850344907154746,Estate,#6568f7
fr_halogen,1.1932020160365653e-05,4.8499893058329135e-05,Fragment,#009eff
NumFluorineAtoms,6.318600340393665e-06,1.592595468857816e-05,Constitution,#ffd500
PEOE_VSA13,4.7926029021150285e-05,-3.320656039507153e-05,MOE,#a700ff
NdO,2.6515007696459314e-05,2.3766674778658015e-05,Estate,#6568f7
fr_ketone_Topliss,5.055650730023675e-05,0.00015687332911917817,Fragment,#009eff
fr_furan,1.003152944833996e-05,0.00017127191478549797,Fragment,#009eff
NumHeteroCycles,0.00021915578029374494,0.00010367618365714204,Constitution,#ffd500
fr_NH0,0.00015546296807855686,0.0003648711876435007,Fragment,#009eff
fr_imidazole,0.00032479612326086205,-0.00015197016976098432,Fragment,#009eff
MINaaS,0.005666475404392579,-0.00013357129963964542,Estate,#6568f7
MAXaaS,0.005312896164303527,-0.0022542490200563314,Estate,#6568f7
AATSC1d,0.0018741645088250491,-3.2582743601405895e-05,Autocorr,#bfff00
MATS1d,0.0008002716031941803,0.00024228339845477898,Autocorr,#bfff00
GATS4d,0.0022613496773622455,-0.00036536698991607164,Autocorr,#bfff00
GATS5i,0.0003655553710731896,-0.0008175894618034363,Autocorr,#bfff00
GATS5v,0.0006430957635695789,0.00023201311176468398,Autocorr,#bfff00
GATS6v,6.977892057469237e-05,-0.0003494762561538911,Autocorr,#bfff00
GATS6p,-4.800061949272738e-05,-7.510862567228216e-06,Autocorr,#bfff00
GATS6Z,-7.711096920659521e-06,-4.214251583278816e-05,Autocorr,#bfff00
GATS7c,0.00028142756359150756,0.00021959638053714592,Autocorr,#bfff00
GATS7se,2.727344293484979e-05,-5.7681040330437305e-05,Autocorr,#bfff00
VE2_DzZ,0.0005022559992292619,-2.2871250456080183e-05,Matrix,#ff00ed
VE2_A,0.0004444606602191925,-8.193471214990034e-05,Matrix,#ff00ed
SpAD_Dzp,1.4267015187030552e-06,2.808191559511286e-06,Matrix,#ff00ed
VR1_Dt,-4.320151426484564e-06,-2.6141378012600747e-05,Matrix,#ff00ed
ATS3are,-4.02890145778656e-06,-2.5607645511627197e-05,Autocorr,#bfff00
CIC2,0.00048063991760671776,0.0007382218133319407,InfoContent,#ff0082
SMR_VSA5,4.633245143104148e-06,1.019578088412576e-05,MOE,#a700ff
NumHydrogenAtoms,0.0001394619995898072,0.00031973489306180713,Constitution,#ffd500
KierFlexibilit,4.016540268159119e-07,3.4408135840546805e-07,Kappa,#00ff86
KappaAlapha2,5.210326476934313e-07,-4.951249470419583e-07,Kappa,#00ff86
MINssssN,0.0018411538648335224,0.0006688284603031391,Estate,#6568f7
SssssN,0.001413084058599079,0.0015282610600644286,Estate,#6568f7
SM1_Dzpe,0.0017162489450791574,-0.000262336974794275,Matrix,#ff00ed
EState_VSA10,8.182938803336093e-06,9.65798443008925e-06,MOE,#a700ff
ATSC0are,-1.6211786052489074e-06,-6.231394681366353e-07,Autocorr,#bfff00
VSA_EState1,4.419057884008648e-05,-5.166909911424877e-05,MOE,#a700ff
SsF,1.5360049226975647e-06,3.14075838425687e-06,Estate,#6568f7
PEOE_VSA4,2.277888018975549e-05,6.724487651377231e-06,MOE,#a700ff
PEOE_VSA12,3.517012704501443e-05,3.208626400330594e-05,MOE,#a700ff
SdO,-4.505145956179568e-06,6.43662431021319e-06,Estate,#6568f7
fr_ketone,4.174822772096132e-05,0.0001720332286574422,Fragment,#009eff
fr_aldehyde,0.0008125019852410764,-0.0012996054508469523,Fragment,#009eff
SMR_VSA3,1.2784518998998351e-08,-6.441839716653242e-05,MOE,#a700ff
fr_pyridine,0.0001333890990777853,0.00033368441191583553,Fragment,#009eff
fr_tetrazole,0.0,0.0,Fragment,#009eff
NaaS,2.3171474987870866e-05,-0.0001886622472243582,Estate,#6568f7
ATSC1dv,0.007342800074680356,0.0038852427493442088,Autocorr,#bfff00
AATSC1dv,0.007491130297156978,0.004933872683481666,Autocorr,#bfff00
MolAverageWeight,0.0002681852572343768,0.00038565221157937923,Property,#ff6a00
AATSC0v,-1.0278922590312156e-05,-7.726929404539007e-06,Autocorr,#bfff00
GATS3d,0.005255030976100472,0.0036143132231452046,Autocorr,#bfff00
AATS1i,0.008169656788761026,0.006152018227360445,Autocorr,#bfff00
GATS6i,-0.00014185084199358489,-0.0007345940579067678,Autocorr,#bfff00
AATS7i,0.0019561650062149827,-0.001567249948328242,Autocorr,#bfff00
GATS4c,0.0003446202555841271,-0.0003595501184463501,Autocorr,#bfff00
GATS7dv,0.00031750708479771905,0.00021345100619574175,Autocorr,#bfff00
GATS7s,-7.997944273729907e-05,-9.217587384313664e-05,Autocorr,#bfff00
VE2_Dzp,0.0008186344057321548,6.426938555448292e-05,Matrix,#ff00ed
VE2_Dzse,0.0004808336327022378,-9.340047836303711e-05,Matrix,#ff00ed
SpAbs_Dzp,-2.5156716053631456e-06,-6.3722783869568644e-06,Matrix,#ff00ed
VR1_Dzm,6.582333960336584e-06,8.765269409516385e-06,Matrix,#ff00ed
ATS3i,1.3900582085946134e-05,1.8965114245705905e-07,Autocorr,#bfff00
CIC3,0.0002054761756550283,0.00039435448971658627,InfoContent,#ff0082
ATS2se,5.353072827563032e-06,-2.2947110913107416e-05,Autocorr,#bfff00
ATS2i,6.155119362205586e-05,0.00012208995493967478,Autocorr,#bfff00
NumAcyclicSingleBonds,7.091598077257899e-05,0.00013622709295957325,Constitution,#ffd500
Kappa2,1.377510754352329e-07,1.7407265573421427e-07,Kappa,#00ff86
NssssN,2.547929232821211e-06,0.0,Estate,#6568f7
VSA_EState8,0.0008128458972681551,0.00017871436747629588,MOE,#a700ff
SM1_Dzse,0.001995951021936837,0.0013450424779544168,Matrix,#ff00ed
EState_VSA1,5.405311557460379e-06,-6.935813210429131e-07,MOE,#a700ff
SMR_VSA1,-7.425180881259763e-08,-1.3363632289653538e-06,MOE,#a700ff
PEOE_VSA3,2.7400949461964252e-05,3.47522172060577e-05,MOE,#a700ff
fr_alkyl_halide,3.8087706674128086e-06,6.076287139444858e-06,Fragment,#009eff
NssssB,7.291637699713416e-05,-0.0002962249246510895,Estate,#6568f7
PEOE_VSA2,5.176053805788783e-05,3.62396240234375e-05,MOE,#a700ff
VSA_EState2,0.00024080378088087162,9.135834195395098e-05,MOE,#a700ff
fr_imide,0.00013275537639856339,0.0001241429285568918,Fragment,#009eff
NumAcyclicDoubleBonds,9.39013605768535e-05,8.809634230344532e-05,Constitution,#ffd500
SumSquareChargeN,0.0001796845516021106,0.00040709836916486,Charge,#0033ff
MAXdCH2,3.411180594659058e-07,-2.285499464382834e-05,Estate,#6568f7
MINdCH2,7.369301535886663e-06,-4.8844651742485645e-05,Estate,#6568f7
fr_thiophene,0.0001384891908277064,9.180944074282937e-05,Fragment,#009eff
SaaS,0.0002388811077583819,4.931877959857278e-05,Estate,#6568f7
fr_aryl_methyl,0.0016551099040291728,0.0031710558316924153,Fragment,#009eff
MATS1dv,0.0022069414738904447,0.002128393812612983,Autocorr,#bfff00
AATS5i,0.0037705490196293656,-0.0002581016583876883,Autocorr,#bfff00
GATS3i,0.0018869639289650353,0.0016015083952383158,Autocorr,#bfff00
AATS2i,0.0069669084623456,0.005617659877646952,Autocorr,#bfff00
AATS0i,0.005744104104285941,0.004486106336116791,Autocorr,#bfff00
AATS6i,0.0023217410357161405,-0.00026284022764733184,Autocorr,#bfff00
GATS4dv,0.0015679990703409974,0.0013030720028009979,Autocorr,#bfff00
GATS4are,0.00040859602053056054,-0.00013002685525209667,Autocorr,#bfff00
GATS6dv,-0.00018568353896786238,-0.00042080540548672385,Autocorr,#bfff00
VE2_Dzv,0.0005838098851117524,-5.762414498766688e-05,Matrix,#ff00ed
VE2_Dt,0.000787195834246579,0.0004095888950607085,Matrix,#ff00ed
LogEE_Dzp,-1.3931739059058756e-06,-2.509491010216358e-06,Matrix,#ff00ed
VR1_Dzp,6.494112312793732e-06,1.845712011505629e-05,Matrix,#ff00ed
ATS4i,3.567718985408863e-05,7.4630433862799e-05,Autocorr,#bfff00
CIC5,0.00015101505612791222,0.0003226047212426808,InfoContent,#ff0082
EState_VSA4,-6.95666636932879e-05,-0.0004607378081842306,MOE,#a700ff
ATS0i,1.1654147370365742e-05,-1.2432309714260903e-05,Autocorr,#bfff00
ATS1se,4.467427391896539e-05,0.00010551309043704826,Autocorr,#bfff00
ATS0are,3.288296813319658e-05,5.729699676682021e-05,Autocorr,#bfff00
PEOE_VSA8,-1.4943494037744642e-06,-3.4773891622874586e-06,MOE,#a700ff
SsCH3,0.00033134857023309205,4.9498948183845926e-05,Estate,#6568f7
NsCH3,2.029114826163081e-05,2.447854388842874e-05,Estate,#6568f7
ATS0s,-9.636987339356473e-06,-2.7160075577903342e-05,Autocorr,#bfff00
ATSC0se,5.424022674560547e-06,-3.0181624672831475e-06,Autocorr,#bfff00
ATSC0pe,1.3794580644432841e-06,1.7958608540591392e-05,Autocorr,#bfff00
fr_N_O,2.9892830008870774e-05,0.0,Fragment,#009eff
AcyclicTrivalentNodes,0.00020789041776547723,0.0003042180429805308,Constitution,#ffd500
fr_C_O,0.00014683062380016487,-8.0207532102472e-05,Fragment,#009eff
fr_C_O_noCOO,0.00010739470070064705,9.864568710327148e-06,Fragment,#009eff
NdssC,5.1368281922647974e-05,-1.1543658646750998e-05,Estate,#6568f7
MINdsCH,0.009827696294947175,0.00711335919120093,Estate,#6568f7
fr_allylic_oxid,-1.8275427547287393e-05,0.0001320263201539662,Fragment,#009eff
SdCH2,-1.3554976741048108e-07,-3.6846507689425323e-07,Estate,#6568f7
NdCH2,-1.684847202865214e-07,-1.1011280796835443e-05,Estate,#6568f7
fr_sulfonamd,1.4421191405156186e-05,0.0,Fragment,#009eff
NumSulfurAtoms,-7.9874457282747e-06,-0.00015911459922790527,Constitution,#ffd500
MAXsCH3,0.005375460298224,0.0018913420763881916,Estate,#6568f7
MINsCH3,0.006629535759037242,0.0018096620386296447,Estate,#6568f7
GATS3m,0.00133282674307178,0.00010355629704206226,Autocorr,#bfff00
AXp-1d,0.0042043092914603175,0.0008349208669228281,Connectivity,#4fff00
GATS3v,0.003948277031833536,0.003357119858264923,Autocorr,#bfff00
AATS4i,0.006247154944999722,0.005698075348680609,Autocorr,#bfff00
GATS1c,0.0010349939323285318,0.0008821236816318745,Autocorr,#bfff00
GATS4pe,0.0008188604631207408,-0.00030462172898382267,Autocorr,#bfff00
GATS6c,-3.327776423900364e-05,-0.00012128461490978903,Autocorr,#bfff00
GATS6are,5.374916575262567e-06,-0.0001783729954200064,Autocorr,#bfff00
VE2_Dzare,0.0008200655098665743,0.0002724237062713408,Matrix,#ff00ed
VE2_Dzpe,0.0005762014876712351,-0.00030773539434780783,Matrix,#ff00ed
SpDiam_Dzp,-1.3527037067140313e-06,2.8596682981607557e-06,Matrix,#ff00ed
VR1_DzZ,7.298182357451388e-06,1.4905225146799594e-05,Matrix,#ff00ed
ATS4pe,3.056126562039907e-05,7.367269559332978e-05,Autocorr,#bfff00
ATS3pe,5.256105214357376e-05,9.944357655256031e-05,Autocorr,#bfff00
ATS2pe,3.562173382809508e-05,7.848035205493264e-05,Autocorr,#bfff00
NumAllAtoms,0.0001389867710797077,0.0003489675846966023,Constitution,#ffd500
ATS0se,3.953743726015091e-05,1.905045726080523e-05,Autocorr,#bfff00
TIC2,4.796218127012253e-05,4.743039608001709e-05,InfoContent,#ff0082
Kappa1,1.109713180569294e-06,3.2464211636717977e-06,Kappa,#00ff86
EState_VSA3,7.286667823791504e-06,1.3435428792729631e-05,MOE,#a700ff
EState_VSA9,-2.360225401121241e-06,-2.4091113697499722e-05,MOE,#a700ff
ATS2s,5.441463806432623e-06,3.553249619203669e-06,Autocorr,#bfff00
EState_VSA2,-2.8252940287298856e-07,3.735450181063804e-06,MOE,#a700ff
NumHeteroAtoms,1.4799139039123332e-05,6.933239373285716e-05,Constitution,#ffd500
NumHydrogenBondAcceptorSites,4.0879557755890694e-05,3.9540231227874756e-05,Constitution,#ffd500
MolTPSA,2.7260150421759555e-05,2.138452096411836e-05,Property,#ff6a00
fr_ester,8.260357108991201e-05,0.00014546107162127786,Fragment,#009eff
NumCyclicOxygenAtoms,1.5128319236445975e-05,-2.6713040742087912e-05,Constitution,#ffd500
fr_barbitur,0.00023324533619673016,0.0,Fragment,#009eff
MAXdsCH,0.009231627580117086,0.006179613145914864,Estate,#6568f7
fr_dihydropyridine,0.0,0.0,Fragment,#009eff
fr_hdrzone,0.0001644546335394237,-9.514188224624132e-05,Fragment,#009eff
fr_guanido,0.0,0.0,Fragment,#009eff
NddssS,7.538124918937683e-06,-3.327700224819985e-06,Estate,#6568f7
MATS1m,0.0010210411115126883,0.0006624026732010568,Autocorr,#bfff00
GATS1p,0.00473551308228215,0.0034908970648591664,Autocorr,#bfff00
GATS1i,0.0111426862634042,0.011825845322825601,Autocorr,#bfff00
GATS2i,0.0024292038922960613,-0.0010266331109134441,Autocorr,#bfff00
GATS3Z,0.0007906633175233102,-1.480565829714564e-05,Autocorr,#bfff00
AXp-4d,0.0034575845876878564,0.002115782688964396,Connectivity,#4fff00
AATS3i,0.004132137972522876,0.0022941543297333444,Autocorr,#bfff00
GATS3p,0.0011477763341232183,0.0009363076903602385,Autocorr,#bfff00
GATS4se,0.0004198258234696661,-0.0004909634590148926,Autocorr,#bfff00
GATS6se,-0.00011705336245615428,-0.00021471218629320887,Autocorr,#bfff00
GATS6pe,-9.199934588233205e-05,-0.0003259513865818686,Autocorr,#bfff00
VE2_Dzm,0.0006744979288090258,4.424764351407262e-05,Matrix,#ff00ed
IndexBalabanJ,0.0001292306591164083,0.00013714622367511087,Topology,#00ff1b
SpMax_Dzv,-9.90249893861872e-07,1.4603137969970703e-06,Matrix,#ff00ed
VR1_Dzi,5.7600607926699965e-06,1.6477297652750522e-05,Matrix,#ff00ed
ATS4se,3.3432956446310946e-05,3.291124647308852e-05,Autocorr,#bfff00
ATS4are,3.9266422390937805e-05,8.733638308255909e-05,Autocorr,#bfff00
ATS2are,3.5569325766870996e-05,5.361776460299783e-05,Autocorr,#bfff00
ATS1i,3.0712563205859134e-05,-2.1565366875142544e-05,Autocorr,#bfff00
TIC3,-8.52735882450606e-06,-7.916783744643663e-05,InfoContent,#ff0082
ATS0pe,3.11104072766577e-05,3.857368772675063e-05,Autocorr,#bfff00
TIC1,3.319919448008246e-05,3.4985894506567305e-05,InfoContent,#ff0082
TIC0,9.630899876356125e-05,0.0002202161333777486,InfoContent,#ff0082
SlogP_VSA3,8.961016482178508e-07,-1.110813835358826e-07,MOE,#a700ff
ATS3s,-3.8321383973860534e-06,-1.1278147047266707e-05,Autocorr,#bfff00
PEOE_VSA10,5.050943317741474e-05,5.297701467166238e-05,MOE,#a700ff
SlogP_VSA1,3.7803229968602636e-07,-1.494180072447726e-06,MOE,#a700ff
NumHydrogenBondAcceptorAtoms,6.229379637678889e-05,7.124854759732457e-05,Constitution,#ffd500
NumAcyclicOxygenAtoms,1.776362345984328e-05,-5.8507377451721965e-06,Constitution,#ffd500
SMR_VSA6,6.782212717970637e-05,0.00016225603493769114,MOE,#a700ff
fr_amide,8.210040290246301e-05,-2.5941566987541798e-05,Fragment,#009eff
NumAmideBonds,6.0927376828501245e-05,-0.00010238045995891731,Constitution,#ffd500
NdsCH,5.524436181847392e-07,-4.8045407642027804e-05,Estate,#6568f7
SdsCH,0.00010991282761096954,-0.00011692670258611759,Estate,#6568f7
MINdsN,0.002479405142366886,0.002538841556418925,Estate,#6568f7
MINddC,0.0005026065151799708,-7.96893780882213e-05,Estate,#6568f7
fr_sulfone,7.696669887413687e-05,-0.00015193020755599473,Fragment,#009eff
ATSC1Z,0.0036876305768436257,0.0008341338146815591,Autocorr,#bfff00
GATS1Z,0.0015794087032026116,0.00030293857509433586,Autocorr,#bfff00
GATS1v,0.0025827664543282003,0.0015077475797046214,Autocorr,#bfff00
GATS2v,0.0021591632711617237,-3.637237983022956e-07,Autocorr,#bfff00
AXp-0dv,0.0016141812401739841,0.0016188790852372792,Connectivity,#4fff00
GATS1d,0.0014190699227831782,0.0007986135103484893,Autocorr,#bfff00
AXp-2d,0.0055884537710385596,0.004656360907988044,Connectivity,#4fff00
GATS3c,0.0004115892912853747,-2.7577985416860074e-05,Autocorr,#bfff00
GATS5c,0.0002869147468697042,-0.00013812699101189985,Autocorr,#bfff00
GATS5are,0.0002049845220013502,0.0002145706252617563,Autocorr,#bfff00
GATS6s,7.607652382424224e-05,3.376603126525879e-05,Autocorr,#bfff00
GATS1s,0.0011723226105625484,0.0013243982737713988,Autocorr,#bfff00
SpAD_Dzv,1.1842189865385322e-06,3.3094124359811516e-06,Matrix,#ff00ed
LogEE_Dzv,-2.3443929164645994e-07,3.52209264531389e-07,Matrix,#ff00ed
VR1_Dzv,1.1958012526736006e-05,1.739439639170115e-05,Matrix,#ff00ed
ATS5se,3.166513686836403e-05,5.9043819254034346e-05,Autocorr,#bfff00
ATS5i,1.9288706508580056e-05,2.570585771033418e-05,Autocorr,#bfff00
ATSC0v,1.379009336233139e-05,3.20903279563689e-05,Autocorr,#bfff00
TIC4,7.190132005652217e-05,0.0001358227296308634,InfoContent,#ff0082
ATS1are,2.6063062250614166e-05,-9.155883030464995e-05,Autocorr,#bfff00
KappaAlapha1,1.121735708320415e-06,2.0638108253479004e-06,Kappa,#00ff86
ATS0p,-4.199418146555445e-08,-2.2961334755766671e-07,Autocorr,#bfff00
ATSC0i,5.182014270266322e-05,0.00011410157788882547,Autocorr,#bfff00
ATSC0dv,-2.0618635144797892e-06,-2.828308127145185e-05,Autocorr,#bfff00
ATS5s,-2.8802420605211765e-06,-1.607225699862269e-05,Autocorr,#bfff00
ATS4s,8.973039009374517e-06,2.9294328256046498e-05,Autocorr,#bfff00
PEOE_VSA9,-4.4779682695228473e-07,-1.3846565376729458e-05,MOE,#a700ff
SlogP_VSA2,8.228607475757599e-05,0.00021189654415298964,MOE,#a700ff
fr_ether,-6.168742071488431e-06,-6.203217939904082e-05,Fragment,#009eff
